,Name,Location,coordinates,lat,lon,Date established as park,"Area, acres","area, acres","area, km^2",Recreation visitors,Description,national park full name,State,Park Designation,Park Code,postalCode,list of postal codes,count_of_postCodes,total population
26,Great Smoky Mountains,"North Carolina, Tennessee",35.68°N 83.53°W,35.68,-83.53,15-Jun-34,"522,426.88 acres (2,114.2 km2)","522,426.88","2,114.20",11421200,"The Great Smoky Mountains, part of the Appalachian Mountains, span a wide range of elevations, making them home to over 400 vertebrate species, 100 tree species, and 5000 plant species. Hiking is the park's main attraction, with over 800 miles (1,300 km) of trails, including 70 miles (110 km) of the Appalachian Trail. Other activities include fishing, horseback riding, and touring nearly 80 historic structures.[59] (WHS)[60] (BR)[61]",Great Smoky Mountains National Park,TN,National Park,grsm,37738,"['24215', '24216', '24218', '24219', '24221', '24243', '24244', '24246', '24248', '24263', '24265', '24273', '24277', '24281', '24282', '24285', '28701', '28702', '28707', '28708', '28712', '28713', '28715', '28716', '28717', '28718', '28719', '28721', '28723', '28725', '28728', '28729', '28733', '28734', '28736', '28738', '28741', '28742', '28743', '28744', '28745', '28747', '28748', '28751', '28753', '28763', '28766', '28768', '28771', '28772', '28774', '28775', '28779', '28781', '28783', '28785', '28786', '28788', '28789', '28802', '28806', '28901', '28902', '28903', '28904', '28905', '28906', '28909', '29621', '29625', '29630', '29631', '29632', '29633', '29634', '29635', '29641', '29656', '29657', '29658', '29664', '29665', '29667', '29670', '29671', '29672', '29675', '29676', '29677', '29678', '29679', '29682', '29685', '29686', '29689', '29691', '29693', '29696', '30512', '30513', '30514', '30523', '30525', '30528', '30531', '30533', '30535', '30537', '30538', '30544', '30545', '30546', '30552', '30559', '30560', '30562', '30563', '30568', '30571', '30572', '30573', '30576', '30577', '30580', '30581', '30582', '30596', '30597', '30598', '37314', '37333', '37385', '37616', '37641', '37642', '37645', '37656', '37681', '37701', '37705', '37707', '37708', '37709', '37710', '37711', '37713', '37714', '37715', '37716', '37717', '37721', '37722', '37724', '37725', '37727', '37729', '37730', '37731', '37737', '37738', '37742', '37743', '37744', '37745', '37752', '37753', '37754', '37757', '37760', '37762', '37764', '37765', '37766', '37769', '37771', '37772', '37773', '37774', '37777', '37778', '37779', '37801', '37802', '37803', '37804', '37806', '37807', '37809', '37810', '37811', '37813', '37814', '37815', '37816', '37818', '37819', '37820', '37821', '37822', '37824', '37825', '37828', '37830', '37831', '37843', '37847', '37848', '37849', '37851', '37853', '37857', '37860', '37861', '37862', '37863', '37864', '37865', '37866', '37867', '37868', '37869', '37870', '37871', '37873', '37876', '37877', '37878', '37879', '37881', '37882', '37885', '37886', '37888', '37890', '37891', '37901', '37902', '37909', '37912', '37913', '37914', '37915', '37916', '37917', '37918', '37919', '37920', '37921', '37922', '37923', '37924', '37927', '37928', '37929', '37930', '37931', '37932', '37933', '37938', '37939', '37940', '37950', '37951', '37990', '37995', '37996', '37997', '37998', '37999', '40695', '40701', '40702', '40730', '40734', '40754', '40759', '40763', '40769', '40771', '40801', '40806', '40810', '40813', '40815', '40818', '40819', '40820', '40824', '40828', '40829', '40830', '40831', '40840', '40843', '40845', '40847', '40849', '40854', '40856', '40863', '40865', '40867', '40870', '40873', '40902', '40903', '40906', '40913', '40915', '40921', '40923', '40927', '40930', '40935', '40939', '40940', '40943', '40949', '40953', '40955', '40958', '40964', '40965', '40977', '40982', '40988', '40995', '40997']",328,2132757.0
27,Guadalupe Mountains,Texas,31.92°N 104.87°W,31.92,-104.87,15-Oct-66,"86,367.10 acres (349.5 km2)","86,367.10",349.5,172347,"This park contains Guadalupe Peak, the highest point in Texas, as well as the scenic McKittrick Canyon filled with bigtooth maples, a corner of the arid Chihuahuan Desert, and a fossilized coral reef from the Permian era.[62]",Guadalupe Mountains National Park,TX,National Park,gumo,79847,"['79837', '79838', '79839', '79847', '79851', '79853', '79854', '79855', '79858', '79938', '88250', '88253', '88254', '88310', '88311', '88315', '88317', '88325', '88330', '88332', '88337', '88339', '88342', '88344', '88347', '88349', '88350', '88354']",28,143490.0
28,Haleakala,Hawaii,20.72°N 156.17°W,20.72,-156.17,1-Jul-61,"33,264.62 acres (134.6 km2)","33,264.62",134.6,1044084,"The Haleakalā volcano on Maui features a very large crater with numerous cinder cones, Hosmer's Grove of alien trees, the Kipahulu section's scenic pools of freshwater fish, and the native Hawaiian goose. The park protects the greatest number of endangered species within a U.S. National Park.[63] (BR)[64]",Haleakal&#257; National Park,HI,National Park,hale,96768,"['96708', '96713', '96719', '96727', '96729', '96732', '96733', '96738', '96740', '96742', '96743', '96748', '96753', '96755', '96757', '96761', '96763', '96767', '96768', '96770', '96779', '96784', '96788', '96790', '96793']",25,236246.0
29,Hawaii Volcanoes,Hawaii,19.38°N 155.20°W,19.38,-155.2,1-Aug-16,"325,605.28 acres (1,317.7 km2)","325,605.28","1,317.70",1116891,"This park on the Big Island protects the Kīlauea and Mauna Loa volcanoes, two of the world's most active geological features. Diverse ecosystems range from tropical forests at sea level to barren lava beds at more than 13,000 feet (4,000 m).[65] (WHS)[66] (BR)[64]",Hawai'i Volcanoes National Park,HI,National Park,havo,96718,"['96373', '96385', '96704', '96710', '96718', '96719', '96720', '96721', '96725', '96726', '96727', '96728', '96737', '96738', '96739', '96740', '96743', '96745', '96749', '96750', '96755', '96760', '96764', '96771', '96772', '96773', '96774', '96775', '96776', '96777', '96778', '96780', '96781', '96783', '96785', '96885']",36,197658.0
30,Hot Springs,Arkansas,34.51°N 93.05°W,34.51,-93.05,4-Mar-21,"5,554.15 acres (22.5 km2)","5,554.15",22.5,1506887,"Hot Springs was established as a federal reserve by Congress on April 20, 1832—the oldest area managed by the National Park Service. Congress redesignated Hot Springs as a national park on March 4, 1921. Natural hot springs flow out of the Ouachita Mountains, providing opportunities for relaxation in a historic setting. Bathhouse Row preserves numerous examples of 19th-century architecture.[67] Hot Springs is the first national park in a city and was the smallest national park until February 22, 2018 when the Jefferson National Expansion Memorial was redesignated Gateway Arch National Park.[68]",Hot Springs National Park,AR,National Park,hosp,71901,"['71631', '71651', '71652', '71660', '71701', '71711', '71720', '71721', '71722', '71724', '71725', '71726', '71728', '71742', '71743', '71744', '71745', '71748', '71751', '71752', '71758', '71759', '71762', '71763', '71764', '71766', '71767', '71770', '71772', '71801', '71802', '71825', '71827', '71828', '71831', '71835', '71838', '71839', '71840', '71844', '71845', '71847', '71852', '71855', '71857', '71858', '71860', '71862', '71864', '71901', '71902', '71903', '71907', '71909', '71910', '71913', '71914', '71920', '71921', '71922', '71923', '71929', '71933', '71935', '71940', '71941', '71942', '71943', '71949', '71950', '71951', '71952', '71956', '71957', '71958', '71959', '71960', '71961', '71962', '71964', '71965', '71966', '71968', '71969', '71970', '71998', '71999', '72001', '72002', '72011', '72013', '72015', '72016', '72018', '72019', '72022', '72025', '72027', '72028', '72030', '72031', '72032', '72033', '72034', '72035', '72039', '72044', '72047', '72053', '72057', '72058', '72061', '72063', '72065', '72067', '72070', '72078', '72079', '72080', '72084', '72087', '72088', '72089', '72103', '72104', '72105', '72106', '72107', '72110', '72113', '72114', '72115', '72116', '72117', '72118', '72119', '72120', '72122', '72124', '72125', '72126', '72127', '72128', '72129', '72131', '72132', '72135', '72141', '72150', '72153', '72156', '72157', '72158', '72164', '72167', '72173', '72180', '72181', '72183', '72190', '72199', '72201', '72202', '72203', '72204', '72205', '72206', '72207', '72209', '72210', '72211', '72212', '72214', '72215', '72216', '72217', '72219', '72221', '72222', '72223', '72225', '72227', '72231', '72259', '72295', '72559', '72679', '72801', '72802', '72811', '72812', '72820', '72821', '72822', '72823', '72824', '72826', '72827', '72828', '72829', '72830', '72832', '72833', '72834', '72835', '72837', '72838', '72839', '72840', '72841', '72842', '72843', '72845', '72846', '72847', '72851', '72852', '72853', '72854', '72855', '72857', '72858', '72860', '72863', '72865', '72943', '72949', '72951']",228,1067805.0
31,Indiana Dunes,Indiana,41.6533°N 87.0524°W,41.6533,-87.0524,15-Feb-19,"15,349.08 acres (62.1 km2)","15,349.08",62.1,1756079,"Previously designated a national lakeshore, the dunes run for nearly 25 miles (40 km) along the southern shore of Lake Michigan. The sandy beach adjoins a grassy prairie, bog, and wetlands home to over 2,000 species.[69]",Indiana Dunes National Park,IN,National Park,indu,46304,"['46065', '46301', '46302', '46303', '46304', '46307', '46308', '46310', '46311', '46312', '46319', '46320', '46321', '46322', '46323', '46324', '46325', '46327', '46340', '46341', '46342', '46345', '46346', '46347', '46348', '46349', '46350', '46352', '46355', '46356', '46360', '46361', '46365', '46366', '46368', '46369', '46371', '46372', '46373', '46374', '46375', '46376', '46377', '46379', '46380', '46381', '46382', '46383', '46384', '46385', '46386', '46390', '46391', '46392', '46393', '46394', '46401', '46402', '46403', '46404', '46405', '46406', '46407', '46408', '46409', '46410', '46411', '46415', '46501', '46511', '46513', '46531', '46532', '46534', '46535', '46536', '46537', '46546', '46552', '46554', '46556', '46563', '46572', '46574', '46601', '46604', '46612', '46613', '46614', '46615', '46616', '46617', '46619', '46620', '46624', '46626', '46628', '46629', '46634', '46635', '46637', '46660', '46680', '46696', '46699', '46912', '46913', '46915', '46916', '46917', '46920', '46922', '46923', '46929', '46931', '46932', '46935', '46939', '46942', '46945', '46947', '46950', '46960', '46961', '46966', '46967', '46968', '46975', '46977', '46978', '46979', '46985', '46988', '46994', '46995', '46996', '46998', '47671', '47901', '47904', '47905', '47906', '47907', '47917', '47920', '47921', '47922', '47923', '47924', '47925', '47926', '47929', '47942', '47943', '47944', '47946', '47948', '47950', '47951', '47957', '47959', '47960', '47962', '47963', '47964', '47970', '47971', '47975', '47976', '47977', '47978', '47980', '47984', '47986', '47995', '47997', '49022', '49023', '49038', '49039', '49043', '49063', '49084', '49085', '49090', '49098', '49101', '49102', '49103', '49104', '49106', '49107', '49111', '49113', '49115', '49116', '49117', '49119', '49120', '49121', '49125', '49126', '49127', '49128', '49129', '49406', '49434', '53101', '53140', '53141', '53142', '53143', '53144', '53158', '53171', '53177', '53194', '53401', '53402', '53403', '53404', '53405', '53406', '53407', '53408', '53490', '60006', '60009', '60011', '60015', '60016', '60017', '60018', '60019', '60022', '60025', '60026', '60029', '60035', '60037', '60040', '60043', '60044', '60045', '60053', '60062', '60064', '60065', '60068', '60069', '60070', '60075', '60076', '60077', '60078', '60079', '60082', '60085', '60086', '60087', '60088', '60091', '60092', '60093', '60094', '60095', '60096', '60099', '60104', '60130', '60131', '60141', '60153', '60154', '60155', '60159', '60160', '60161', '60162', '60163', '60164', '60165', '60168', '60171', '60176', '60201', '60202', '60203', '60204', '60208', '60209', '60301', '60302', '60303', '60304', '60305', '60330', '60401', '60402', '60406', '60409', '60411', '60412', '60415', '60417', '60419', '60422', '60423', '60425', '60426', '60429', '60430', '60438', '60443', '60445', '60448', '60449', '60452', '60453', '60454', '60455', '60456', '60457', '60458', '60459', '60461', '60462', '60463', '60464', '60465', '60466', '60467', '60468', '60469', '60471', '60472', '60473', '60475', '60476', '60477', '60478', '60480', '60482', '60499', '60501', '60513', '60525', '60526', '60534', '60546', '60558', '60601', '60602', '60603', '60604', '60605', '60606', '60607', '60608', '60609', '60610', '60611', '60612', '60613', '60614', '60615', '60616', '60617', '60618', '60619', '60620', '60621', '60622', '60623', '60624', '60625', '60626', '60628', '60629', '60630', '60631', '60632', '60633', '60634', '60636', '60637', '60638', '60639', '60640', '60641', '60643', '60644', '60645', '60646', '60647', '60648', '60649', '60650', '60651', '60652', '60653', '60654', '60655', '60656', '60657', '60659', '60660', '60661', '60663', '60664', '60665', '60666', '60667', '60668', '60669', '60670', '60671', '60672', '60673', '60674', '60675', '60677', '60678', '60679', '60680', '60681', '60683', '60684', '60685', '60687', '60690', '60691', '60692', '60693', '60694', '60697', '60699', '60701', '60706', '60707', '60712', '60714', '60803', '60804', '60805', '60827', '60901', '60902', '60910', '60912', '60914', '60915', '60922', '60924', '60926', '60928', '60931', '60932', '60939', '60940', '60942', '60944', '60945', '60950', '60951', '60953', '60954', '60956', '60960', '60964', '60966', '60967', '60970', '60973', '60974']",475,6825634.0
32,Isle Royale,Michigan,48.10°N 88.55°W,48.1,-88.55,3-Apr-40,"571,790.30 acres (2,314.0 km2)","571,790.30","2,314.00",25798,"The largest island in Lake Superior is a place of isolation and wilderness. Along with its many shipwrecks, waterways, and hiking trails, the park also includes over 400 smaller islands within 4.5 miles (7.2 km) of its shores. There are only 20 mammal species on the entire island, though the relationship between its wolf and moose populations is especially unique.[70] (BR)[71]",Isle Royale National Park,MI,National Park,isro,49931,"['49805', '49808', '49814', '49815', '49831', '49834', '49849', '49861', '49877', '49879', '49881', '49901', '49902', '49903', '49905', '49908', '49912', '49913', '49915', '49916', '49917', '49918', '49919', '49920', '49921', '49922', '49924', '49925', '49927', '49929', '49930', '49931', '49934', '49935', '49942', '49943', '49945', '49946', '49948', '49950', '49952', '49953', '49955', '49958', '49960', '49961', '49962', '49963', '49964', '49965', '49967', '49969', '49970', '49990', '54519', '54521', '54540', '54542', '54554']",59,92939.0
33,Joshua Tree,California,33.79°N 115.90°W,33.79,-115.9,31-Oct-94,"795,155.85 acres (3,217.9 km2)","795,155.85","3,217.90",2942382,"Covering large areas of the Colorado and Mojave Deserts and the Little San Bernardino Mountains, this desert landscape is populated by vast stands of Joshua trees. Large changes in elevation reveal various contrasting environments including bleached sand dunes, dry lakes, rugged mountains, and maze-like clusters of monzogranite monoliths.[72] (BR)[37]",Joshua Tree National Park,CA,National Park,jotr,92277,"['91708', '91718', '91720', '91729', '91758', '91760', '91785', '91798', '91903', '91908', '91909', '91912', '91921', '91933', '91943', '91944', '91946', '91947', '91951', '91976', '91979', '91987', '91990', '92004', '92013', '92018', '92022', '92023', '92030', '92033', '92036', '92038', '92039', '92046', '92049', '92051', '92052', '92055', '92058', '92060', '92065', '92066', '92068', '92070', '92072', '92074', '92079', '92085', '92086', '92088', '92090', '92092', '92093', '92096', '92112', '92135', '92138', '92142', '92143', '92147', '92149', '92150', '92152', '92153', '92158', '92159', '92160', '92162', '92163', '92164', '92165', '92166', '92167', '92168', '92169', '92170', '92171', '92172', '92174', '92175', '92176', '92177', '92178', '92184', '92186', '92187', '92190', '92191', '92192', '92193', '92194', '92195', '92196', '92197', '92198', '92201', '92202', '92203', '92210', '92211', '92220', '92227', '92230', '92232', '92233', '92234', '92235', '92236', '92239', '92240', '92241', '92252', '92253', '92254', '92255', '92256', '92257', '92258', '92260', '92261', '92262', '92263', '92264', '92268', '92270', '92274', '92275', '92276', '92277', '92278', '92281', '92282', '92284', '92285', '92286', '92292', '92304', '92305', '92309', '92310', '92314', '92322', '92323', '92326', '92327', '92329', '92332', '92334', '92338', '92340', '92350', '92357', '92365', '92366', '92369', '92375', '92378', '92385', '92386', '92391', '92393', '92398', '92403', '92406', '92412', '92413', '92414', '92415', '92416', '92418', '92420', '92423', '92424', '92427', '92502', '92513', '92514', '92515', '92516', '92517', '92519', '92521', '92522', '92531', '92536', '92539', '92546', '92549', '92552', '92554', '92556', '92561', '92564', '92572', '92581', '92589', '92593', '92599', '92877', '92878', '93558', '93592']",202,744230.0
34,Katmai,Alaska,58.50°N 155.00°W,58.5,-155.0,2-Dec-80,"3,674,529.33 acres (14,870.3 km2)","3,674,529.33","14,870.30",37818,"This park on the Alaska Peninsula protects the Valley of Ten Thousand Smokes, an ash flow formed by the 1912 eruption of Novarupta, as well as Mount Katmai. Over 2,000 grizzly bears come here each year to catch spawning salmon. Other wildlife includes caribou, wolves, moose, and wolverines.[73]",Katmai National Park & Preserve,AK,National Park & Preserve,katm,99613,"['99579', '99580', '99613', '99619', '99625', '99633', '99636', '99649', '99670']",9,1847.0
35,Kenai Fjords,Alaska,59.92°N 149.65°W,59.92,-149.65,2-Dec-80,"669,650.05 acres (2,710.0 km2)","669,650.05","2,710.00",321596,"Near Seward on the Kenai Peninsula, this park protects the Harding Icefield and at least 38 glaciers and fjords stemming from it. The only area accessible to the public by road is Exit Glacier; the rest must be viewed or reached from boat tours.[74]",Kenai Fjords National Park,AK,National Park,kefj,99664,"['99501', '99502', '99503', '99504', '99505', '99506', '99507', '99508', '99509', '99510', '99511', '99512', '99513', '99514', '99515', '99516', '99517', '99518', '99519', '99520', '99521', '99522', '99523', '99524', '99540', '99572', '99577', '99587', '99599', '99605', '99631', '99664']",32,293746.0
36,Kings Canyon,California,36.80°N 118.55°W,36.8,-118.55,4-Mar-40,"461,901.20 acres (1,869.2 km2)","461,901.20","1,869.20",699023,"Home to several giant sequoia groves and the General Grant Tree, the world's second largest measured tree, this park also features part of the Kings River, sculptor of the dramatic granite canyon that is its namesake, and the San Joaquin River, as well as Boyden Cave.[75] Although Kings Canyon National Park was designated as such in 1940, it subsumed General Grant National Park, which had been established on October 1, 1890 as the United States' fourth national park.[76][77][78](BR)[79]",Sequoia & Kings Canyon National Parks,CA,National Parks,seki,93271,"['93201', '93202', '93205', '93206', '93207', '93208', '93212', '93215', '93216', '93217', '93218', '93219', '93220', '93221', '93223', '93226', '93227', '93230', '93235', '93237', '93238', '93240', '93241', '93242', '93244', '93247', '93250', '93251', '93255', '93256', '93257', '93258', '93260', '93261', '93262', '93263', '93265', '93267', '93270', '93271', '93272', '93274', '93275', '93276', '93277', '93278', '93279', '93280', '93282', '93283', '93285', '93286', '93287', '93291', '93292', '93301', '93302', '93303', '93304', '93305', '93306', '93307', '93308', '93309', '93312', '93380', '93381', '93382', '93383', '93384', '93385', '93386', '93387', '93388', '93389', '93390', '93512', '93513', '93514', '93518', '93524', '93526', '93531', '93540', '93545', '93546', '93556', '93581', '93596', '93601', '93602', '93603', '93604', '93605', '93611', '93612', '93613', '93614', '93615', '93616', '93618', '93621', '93623', '93625', '93626', '93628', '93631', '93633', '93634', '93641', '93642', '93643', '93644', '93645', '93646', '93647', '93648', '93649', '93651', '93654', '93657', '93662', '93664', '93666', '93667', '93669', '93670', '93673', '93675', '93707', '93708', '93709', '93712', '93714', '93715', '93716', '93717', '93718', '93724', '93727', '93729', '93740', '93741', '93744', '93745', '93747', '93750', '93755', '93759', '93760', '93761', '93762', '93764', '93765', '93771', '93772', '93773', '93774', '93775', '93776', '93777', '93778', '93779', '93780', '93782', '93784', '93786', '93790', '93791', '93792', '93793', '93794', '93825', '93844', '93888']",175,1529628.0
37,Kobuk Valley,Alaska,67.55°N 159.28°W,67.55,-159.28,2-Dec-80,"1,750,716.16 acres (7,084.9 km2)","1,750,716.16","7,084.90",14937,"Kobuk Valley protects 61 miles (98 km) of the Kobuk River and three regions of sand dunes. Created by glaciers, the Great Kobuk, Little Kobuk, and Hunt River Sand Dunes can reach 100 feet (30 m) high and 100 °F (38 °C), and they are the largest dunes in the Arctic. Twice a year, half a million caribou migrate through the dunes and across river bluffs that expose well-preserved ice age fossils.[80]",Kobuk Valley National Park,AK,National Park,kova,99752,"['99736', '99752', '99761']",3,3946.0
38,Lake Clark,Alaska,60.97°N 153.42°W,60.97,-153.42,2-Dec-80,"2,619,816.49 acres (10,602.0 km2)","2,619,816.49","10,602.00",14479,"The region around Lake Clark features four active volcanoes, including Mount Redoubt, as well as an abundance of rivers, glaciers, and waterfalls. Temperate rainforests, a tundra plateau, and three mountain ranges complete the landscape.[81]",Lake Clark National Park & Preserve,AK,National Park & Preserve,lacl,99653,"['99606', '99640', '99647', '99653']",4,656.0
39,Lassen Volcanic,California,40.49°N 121.51°W,40.49,-121.51,9-Aug-16,"106,589.02 acres (431.4 km2)","106,589.02",431.4,499435,"Lassen Peak, the largest lava dome volcano in the world, is joined by all three other types of volcanoes in this park: shield, cinder cone, and composite. Though Lassen itself last erupted in 1915, most of the rest of the park is continuously active. Numerous hydrothermal features, including fumaroles, boiling pools, and bubbling mud pots, are heated by molten rock from beneath the peak.[82]",Lassen Volcanic National Park,CA,National Park,lavo,96063,"['95701', '95712', '95714', '95717', '95771', '95901', '95910', '95913', '95914', '95915', '95916', '95917', '95918', '95919', '95920', '95922', '95923', '95925', '95926', '95927', '95928', '95929', '95930', '95931', '95932', '95934', '95935', '95936', '95938', '95940', '95941', '95942', '95943', '95944', '95945', '95946', '95947', '95948', '95951', '95953', '95954', '95955', '95956', '95958', '95959', '95960', '95962', '95963', '95965', '95966', '95967', '95968', '95969', '95970', '95971', '95972', '95973', '95974', '95975', '95976', '95977', '95978', '95980', '95981', '95982', '95983', '95984', '95986', '95988', '96001', '96002', '96003', '96006', '96007', '96008', '96009', '96011', '96013', '96015', '96016', '96017', '96019', '96020', '96021', '96022', '96025', '96028', '96035', '96040', '96049', '96051', '96054', '96055', '96056', '96057', '96059', '96061', '96062', '96063', '96065', '96067', '96068', '96069', '96070', '96071', '96073', '96075', '96078', '96079', '96080', '96084', '96088', '96089', '96090', '96092', '96094', '96096', '96099', '96135', '96137', '96222']",121,651044.0
40,Mammoth Cave,Kentucky,37.18°N 86.10°W,37.18,-86.1,1-Jul-41,"54,011.91 acres (218.6 km2)","54,011.91",218.6,533206,"With more than 400 miles (640 km) of passageways explored, Mammoth Cave is the world's longest known cave system. Subterranean wildlife includes eight bat species, Kentucky cave shrimp, Northern cavefish, and cave salamanders. Above ground, the park provides recreation on the Green River, 70 miles of hiking trails, and plenty of sinkholes and springs.[83] (WHS)[84] (BR)[85]",Mammoth Cave National Park,KY,National Park,maca,42259,"['37011', '37012', '37013', '37022', '37030', '37031', '37032', '37048', '37049', '37057', '37066', '37070', '37071', '37072', '37073', '37074', '37075', '37076', '37077', '37080', '37083', '37087', '37088', '37090', '37115', '37116', '37119', '37121', '37122', '37136', '37138', '37141', '37143', '37145', '37146', '37148', '37150', '37151', '37152', '37172', '37184', '37186', '37188', '37189', '37201', '37202', '37203', '37204', '37205', '37206', '37207', '37208', '37209', '37210', '37211', '37212', '37213', '37214', '37215', '37216', '37217', '37218', '37219', '37220', '37221', '37222', '37224', '37227', '37228', '37229', '37230', '37232', '37234', '37235', '37236', '37237', '37238', '37239', '37240', '37241', '37242', '37243', '37244', '37245', '37246', '37247', '37248', '37249', '37250', '38501', '38502', '38503', '38505', '38506', '38541', '38544', '38545', '38547', '38548', '38551', '38552', '38560', '38562', '38563', '38564', '38567', '38568', '38569', '38575', '38582', '38588', '40004', '40010', '40013', '40014', '40018', '40020', '40022', '40023', '40025', '40026', '40027', '40031', '40032', '40037', '40041', '40047', '40048', '40049', '40051', '40052', '40053', '40055', '40056', '40059', '40060', '40062', '40063', '40067', '40071', '40077', '40080', '40081', '40104', '40106', '40107', '40108', '40109', '40110', '40111', '40115', '40117', '40118', '40119', '40121', '40140', '40142', '40143', '40144', '40145', '40146', '40150', '40152', '40153', '40155', '40157', '40159', '40160', '40161', '40162', '40164', '40165', '40170', '40171', '40175', '40176', '40177', '40178', '40179', '40201', '40202', '40203', '40204', '40205', '40206', '40207', '40208', '40209', '40210', '40211', '40212', '40213', '40214', '40215', '40216', '40217', '40218', '40219', '40220', '40221', '40222', '40223', '40224', '40225', '40228', '40229', '40231', '40232', '40233', '40241', '40242', '40243', '40245', '40250', '40251', '40252', '40253', '40255', '40256', '40257', '40258', '40259', '40261', '40266', '40268', '40269', '40270', '40272', '40280', '40281', '40282', '40283', '40285', '40287', '40289', '40290', '40291', '40292', '40293', '40294', '40295', '40296', '40297', '40298', '40299', '42101', '42102', '42103', '42104', '42109', '42120', '42122', '42123', '42124', '42127', '42128', '42129', '42130', '42131', '42133', '42134', '42135', '42140', '42141', '42142', '42150', '42151', '42152', '42153', '42154', '42156', '42157', '42159', '42160', '42163', '42164', '42166', '42167', '42170', '42171', '42201', '42202', '42206', '42207', '42209', '42210', '42214', '42219', '42235', '42251', '42252', '42256', '42257', '42259', '42261', '42265', '42267', '42270', '42273', '42274', '42275', '42276', '42283', '42285', '42287', '42288', '42320', '42321', '42323', '42324', '42326', '42328', '42333', '42337', '42338', '42339', '42343', '42347', '42348', '42349', '42351', '42354', '42355', '42361', '42364', '42365', '42366', '42368', '42369', '42370', '42378', '42701', '42702', '42712', '42713', '42715', '42716', '42717', '42718', '42719', '42720', '42721', '42722', '42724', '42726', '42729', '42731', '42732', '42740', '42742', '42743', '42746', '42748', '42749', '42754', '42755', '42757', '42759', '42761', '42762', '42764', '42765', '42776', '42782', '42783', '42784', '42786', '42788', '47106', '47107', '47110', '47111', '47112', '47114', '47115', '47116', '47117', '47118', '47119', '47120', '47122', '47123', '47124', '47125', '47129', '47130', '47131', '47132', '47133', '47134', '47135', '47136', '47137', '47140', '47142', '47143', '47144', '47145', '47146', '47150', '47151', '47160', '47161', '47164', '47165', '47166', '47172', '47174', '47175', '47190', '47199', '47513', '47514', '47515', '47520', '47521', '47523', '47525', '47527', '47531', '47532', '47536', '47537', '47541', '47542', '47545', '47546', '47547', '47549', '47550', '47551', '47552', '47556', '47574', '47575', '47576', '47577', '47579', '47580', '47586', '47588', '47611', '47615', '47718']",444,3113394.0
41,Mesa Verde,Colorado,37.18°N 108.49°W,37.18,-108.49,29-Jun-06,"52,485.17 acres (212.4 km2)","52,485.17",212.4,563420,"This area constitutes over 4,000 archaeological sites of the Ancestral Puebloan people, who lived here and elsewhere in the Four Corners region for at least 700 years. Cliff dwellings built in the 12th and 13th centuries include Cliff Palace, which has 150 rooms and 23 kivas, and the Balcony House, with its many passages and tunnels.[86] (WHS)[87]",Mesa Verde National Park,CO,National Park,meve,81330,"['81137', '81301', '81302', '81303', '81310', '81320', '81321', '81323', '81324', '81325', '81326', '81327', '81328', '81329', '81330', '81331', '81332', '81334', '81335', '81401', '81411', '81422', '81423', '81424', '81426', '81427', '81429', '81430', '81431', '81432', '81435', '84510', '84530', '84534', '84535', '86507', '86514', '86544', '86556', '87037', '87364', '87401', '87402', '87410', '87413', '87415', '87416', '87417', '87418', '87420', '87421', '87455', '87461', '87499']",54,249932.0
